Id,Calories,ActivityDate,TotalSteps,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance
1503960366,1985,4/12/2016,13162,728,328,13,25,0,6.05999994277954,0.550000011920929,1.87999999523163
1503960366,1797,4/13/2016,10735,776,217,19,21,0,4.71000003814697,0.689999997615814,1.57000005245209
1503960366,1776,4/14/2016,10460,1218,181,11,30,0,3.91000008583069,0.400000005960464,2.44000005722046
1503960366,1745,4/15/2016,9762,726,209,34,29,0,2.82999992370605,1.25999999046326,2.14000010490417
1503960366,1863,4/16/2016,12669,773,221,10,36,0,5.03999996185303,0.409999996423721,2.71000003814697
1503960366,1728,4/17/2016,9705,539,164,20,38,0,2.50999999046326,0.779999971389771,3.19000005722046
1503960366,1921,4/18/2016,13019,1149,233,16,42,0,4.71000003814697,0.639999985694885,3.25
1503960366,2035,4/19/2016,15506,775,264,31,50,0,5.03000020980835,1.32000005245209,3.52999997138977
1503960366,1786,4/20/2016,10544,818,205,12,28,0,4.23999977111816,0.479999989271164,1.96000003814697
1503960366,1775,4/21/2016,9819,838,211,8,19,0,4.65000009536743,0.349999994039536,1.3400000333786
1503960366,1827,4/22/2016,12764,1217,130,27,66,0,2.24000000953674,1.12000000476837,4.76000022888184
1503960366,1949,4/23/2016,14371,732,262,21,41,0,5.3600001335144,0.870000004768372,2.80999994277954
1503960366,1788,4/24/2016,10039,709,238,5,39,0,3.27999997138977,0.209999993443489,2.92000007629395
1503960366,2013,4/25/2016,15355,814,216,14,73,0,3.94000005722046,0.569999992847443,5.28999996185303
1503960366,1970,4/26/2016,13755,833,279,23,31,0,5.53999996185303,0.920000016689301,2.32999992370605
1503960366,2159,4/27/2016,18134,1108,243,11,78,0,5.40999984741211,0.409999996423721,6.40000009536743
1503960366,1898,4/28/2016,13154,782,189,28,48,0,3.78999996185303,1.1599999666214,3.53999996185303
1503960366,1837,4/29/2016,11181,815,243,12,16,0,5.57999992370605,0.5,1.05999994277954
1503960366,1947,4/30/2016,14673,712,217,34,52,0,4.26999998092651,1.41999995708466,3.55999994277954
1503960366,1820,5/1/2016,10602,730,246,35,33,0,2.92000007629395,1.60000002384186,2.28999996185303
1503960366,2004,5/2/2016,14727,798,277,15,41,0,5.92000007629395,0.569999992847443,3.21000003814697
1503960366,1990,5/3/2016,15103,816,254,24,50,0,4.88000011444092,1.04999995231628,3.73000001907349
1503960366,1819,5/4/2016,11100,1179,203,22,36,0,3.8199999332428,0.870000004768372,2.46000003814697
1503960366,1959,5/5/2016,14070,857,250,24,45,0,4.88000011444092,1.08000004291534,2.92000007629395
1503960366,1896,5/6/2016,12159,754,289,6,24,0,5.80999994277954,0.25,1.97000002861023
1503960366,1821,5/7/2016,11992,833,175,46,37,0,3.13000011444092,2.11999988555908,2.46000003814697
1503960366,1740,5/8/2016,10060,574,203,8,44,0,2.73000001907349,0.319999992847443,3.52999997138977
1503960366,1819,5/9/2016,12022,835,206,11,46,0,3.74000000953674,0.529999971389771,3.45000004768372
1503960366,1859,5/10/2016,12207,746,214,31,46,0,3.25999999046326,1.1599999666214,3.34999990463257
1503960366,1783,5/11/2016,12770,669,251,23,36,0,4.55000019073486,1.00999999046326,2.55999994277954
1503960366,0,5/12/2016,0,1440,0,0,0,0,0,0,0
1624580081,1432,4/12/2016,8163,1294,146,0,0,0,5.30999994277954,0,0
1624580081,1411,4/13/2016,7007,1292,148,0,0,0,4.55000019073486,0,0
1624580081,1572,4/14/2016,9107,1204,236,0,0,0,5.90999984741211,0,0
1624580081,1344,4/15/2016,1510,1344,96,0,0,0,0.970000028610229,0,0
1624580081,1463,4/16/2016,5370,1264,176,0,0,0,3.49000000953674,0,0
1624580081,1554,4/17/2016,6175,1276,127,22,15,0,1.49000000953674,1.51999998092651,1.02999997138977
1624580081,1604,4/18/2016,10536,1214,202,7,17,0,4.61999988555908,0.620000004768372,2.15000009536743
1624580081,1435,4/19/2016,2916,1299,141,0,0,0,1.89999997615814,0,0
1624580081,1446,4/20/2016,4974,1289,151,0,0,0,3.23000001907349,0,0
1624580081,1467,4/21/2016,6349,1254,186,0,0,0,4.1100001335144,0,0
1624580081,1470,4/22/2016,4026,1241,199,0,0,0,2.59999990463257,0,0
1624580081,1562,4/23/2016,8538,1213,227,0,0,0,5.53999996185303,0,0
1624580081,1617,4/24/2016,6076,1221,185,18,16,0,1.88999998569489,0.910000026226044,1.14999997615814
1624580081,1492,4/25/2016,6497,1238,202,0,0,0,4.19999980926514,0,0
1624580081,1402,4/26/2016,2826,1300,140,0,0,0,1.83000004291534,0,0
1624580081,1670,4/27/2016,8367,1233,154,36,17,0,2.46000003814697,1.87000000476837,1.11000001430511
1624580081,1401,4/28/2016,2759,1320,115,5,0,0,1.60000002384186,0.200000002980232,0
