Id,ActivityDate,ActivityTime,day_of_week,part_of_week,time_of_day,Calories
1503960366,2016-04-12,00:00:00,Tuesday,Weekday,Night,81
1503960366,2016-04-12,01:00:00,Tuesday,Weekday,Night,61
1503960366,2016-04-12,02:00:00,Tuesday,Weekday,Night,59
1503960366,2016-04-12,03:00:00,Tuesday,Weekday,Night,47
1503960366,2016-04-12,04:00:00,Tuesday,Weekday,Night,48
1503960366,2016-04-12,05:00:00,Tuesday,Weekday,Night,48
1503960366,2016-04-12,06:00:00,Tuesday,Weekday,Morning,48
1503960366,2016-04-12,07:00:00,Tuesday,Weekday,Morning,47
1503960366,2016-04-12,08:00:00,Tuesday,Weekday,Morning,68
1503960366,2016-04-12,09:00:00,Tuesday,Weekday,Morning,141
1503960366,2016-04-12,10:00:00,Tuesday,Weekday,Morning,99
1503960366,2016-04-12,11:00:00,Tuesday,Weekday,Morning,76
1503960366,2016-04-12,12:00:00,Tuesday,Weekday,Afternoon,73
1503960366,2016-04-12,13:00:00,Tuesday,Weekday,Afternoon,66
1503960366,2016-04-12,14:00:00,Tuesday,Weekday,Afternoon,110
1503960366,2016-04-12,15:00:00,Tuesday,Weekday,Afternoon,151
1503960366,2016-04-12,16:00:00,Tuesday,Weekday,Afternoon,76
1503960366,2016-04-12,17:00:00,Tuesday,Weekday,Afternoon,83
1503960366,2016-04-12,18:00:00,Tuesday,Weekday,Evening,124
1503960366,2016-04-12,19:00:00,Tuesday,Weekday,Evening,104
1503960366,2016-04-12,20:00:00,Tuesday,Weekday,Evening,132
1503960366,2016-04-12,21:00:00,Tuesday,Weekday,Evening,100
1503960366,2016-04-12,22:00:00,Tuesday,Weekday,Night,65
1503960366,2016-04-12,23:00:00,Tuesday,Weekday,Night,81
1503960366,2016-04-13,00:00:00,Wednesday,Weekday,Night,69
1503960366,2016-04-13,01:00:00,Wednesday,Weekday,Night,48
1503960366,2016-04-13,02:00:00,Wednesday,Weekday,Night,47
1503960366,2016-04-13,03:00:00,Wednesday,Weekday,Night,53
1503960366,2016-04-13,04:00:00,Wednesday,Weekday,Night,47
1503960366,2016-04-13,05:00:00,Wednesday,Weekday,Night,47
1503960366,2016-04-13,06:00:00,Wednesday,Weekday,Morning,48
1503960366,2016-04-13,07:00:00,Wednesday,Weekday,Morning,59
1503960366,2016-04-13,08:00:00,Wednesday,Weekday,Morning,69
1503960366,2016-04-13,09:00:00,Wednesday,Weekday,Morning,136
1503960366,2016-04-13,10:00:00,Wednesday,Weekday,Morning,77
1503960366,2016-04-13,11:00:00,Wednesday,Weekday,Morning,84
1503960366,2016-04-13,12:00:00,Wednesday,Weekday,Afternoon,82
1503960366,2016-04-13,13:00:00,Wednesday,Weekday,Afternoon,72
1503960366,2016-04-13,14:00:00,Wednesday,Weekday,Afternoon,128
1503960366,2016-04-13,15:00:00,Wednesday,Weekday,Afternoon,79
1503960366,2016-04-13,16:00:00,Wednesday,Weekday,Afternoon,71
1503960366,2016-04-13,17:00:00,Wednesday,Weekday,Afternoon,87
1503960366,2016-04-13,18:00:00,Wednesday,Weekday,Evening,118
1503960366,2016-04-13,19:00:00,Wednesday,Weekday,Evening,73
1503960366,2016-04-13,20:00:00,Wednesday,Weekday,Evening,47
1503960366,2016-04-13,21:00:00,Wednesday,Weekday,Evening,48
1503960366,2016-04-13,22:00:00,Wednesday,Weekday,Night,74
1503960366,2016-04-13,23:00:00,Wednesday,Weekday,Night,135
1503960366,2016-04-14,00:00:00,Thursday,Weekday,Night,56
1503960366,2016-04-14,01:00:00,Thursday,Weekday,Night,54
1503960366,2016-04-14,02:00:00,Thursday,Weekday,Night,47
1503960366,2016-04-14,03:00:00,Thursday,Weekday,Night,47
1503960366,2016-04-14,04:00:00,Thursday,Weekday,Night,47
1503960366,2016-04-14,05:00:00,Thursday,Weekday,Night,47
1503960366,2016-04-14,06:00:00,Thursday,Weekday,Morning,47
1503960366,2016-04-14,07:00:00,Thursday,Weekday,Morning,47
1503960366,2016-04-14,08:00:00,Thursday,Weekday,Morning,47
1503960366,2016-04-14,09:00:00,Thursday,Weekday,Morning,93
1503960366,2016-04-14,10:00:00,Thursday,Weekday,Morning,109
1503960366,2016-04-14,11:00:00,Thursday,Weekday,Morning,64
1503960366,2016-04-14,12:00:00,Thursday,Weekday,Afternoon,85
1503960366,2016-04-14,13:00:00,Thursday,Weekday,Afternoon,137
1503960366,2016-04-14,14:00:00,Thursday,Weekday,Afternoon,113
1503960366,2016-04-14,15:00:00,Thursday,Weekday,Afternoon,66
1503960366,2016-04-14,16:00:00,Thursday,Weekday,Afternoon,88
1503960366,2016-04-14,17:00:00,Thursday,Weekday,Afternoon,61
1503960366,2016-04-14,18:00:00,Thursday,Weekday,Evening,72
1503960366,2016-04-14,19:00:00,Thursday,Weekday,Evening,55
1503960366,2016-04-14,20:00:00,Thursday,Weekday,Evening,91
1503960366,2016-04-14,21:00:00,Thursday,Weekday,Evening,174
1503960366,2016-04-14,22:00:00,Thursday,Weekday,Night,79
